id,username,name,followers,friends,deg
17765013,odersky,Martin Odersky,50262,193,16825
16602164,lightbend,Lightbend,30478,364,12748
1221300014,scala_lang,Scala,26476,9,11688
1279634682,typelevel,typelevel.scala,8498,125,7564
2375844330,scaladays,Scala Days,9009,431,7181
2264250288,ScalaTimes,Scala Times,6476,632,5791
188404315,coolscala,Cool Scala,5590,17,4602
117884044,ScalaIDE,Scala IDE,5656,20,3681
3425836427,scalaworldconf,Scala World,2494,269,2385
2453916726,scala_sbt,sbt,2734,0,2267
3438871047,scala_js,Scala.js,2376,1,1922
2211573571,finatra,Finatra,1077,3,462
3241621826,ayanbejava,Ayyappan Chelladurai,22,204,46
14368844,timstewart,timstewart,65,1136,43
289542230,mavencode,MavenCode,204,1503,39
12338042,agsmith,agsmith,140,1420,39
159810124,AlekseyMoseev,Aleksey Moseev,44,733,39
224572942,aleksandrvin,Aleksandr Vinokurov,170,983,39
20348863,RickBueker,Rick Bueker,167,772,39
450849651,wielocha,Mikołaj Wielocha,55,160,38
284528946,therealsonsy,Ope,104,499,37
3586830493,simun_romic,Simun Romic,50,273,36
517742875,Tonga_Lucero,Gaston,79,440,35
65881932,pishen,Pishen Tsai,70,232,35
14775620,wgren,Lars Westergren,416,1552,35
20283255,oswaldodantas,Oswaldo Dantas,52,307,35
103571623,renphi,Philipp Renerig,175,729,34
3514917681,alvaro_ruiz_ram,Alvaro Ruiz Ramirez,10,204,34
54165976,larsarnbak,Lars Raunkjær Arnbak,82,492,34
119572826,rishckt,Rishi Khandelwal,273,282,34
2993074163,piolando,Piotr,3,1537,34
471467942,vaxherra,Robert Kwapich,108,1616,33
28856584,Intracer,Illia,46,195,33
2729793263,HnatykVitaliy,Vitaliy Hnatyk,62,383,33
204632090,manuzhang,Tianlun,75,442,33
603818019,SameerKShukla,Sameer Shukla,217,910,33
91398816,nishan_ce,Nishan Patel,132,337,33
160881837,matteoguarnerio,Matteo Guarnerio,238,1373,33
261154863,damiano_masillo,Damiano Masiλλo,74,545,33
800701236588613633,mnevfel_,Mustafa Nevfel,30,110,32
55453023,blueiur,blueiur,350,740,32
828653382,cruxkarina,karina,30,974,32
400052652,_alonsodomin_,Alonso Dominguez,154,345,32
3950797462,FokusnussTV,Fokusnuss,1,199,32
2490560071,mrexception2,David Schmitz,9,126,32
86809802,behaghel,Hubert Behaghel,261,484,32
4721259793,Eric__Lee__,arron,9,359,32
223917454,moberstr,moberstr,124,379,32
797107662101966848,miteshnaghera,Mitesh Aghera,6,199,32
23593810,KnutPMeen,KP,97,258,31
70126490,tabkram,Akram Tabka,178,881,31
39466277,smartislav,Eli,96,322,31
48063062,ennru,Enno Runne,599,184,31
52457814,christianvalver,christian valverde,394,1128,31
2339345461,kovalyovs,Sergey Kovalyov,8,79,31
877350786,nsteenv,Vincent Vλn Steen...,253,700,31
15395658,kristoflemmens,Kristof Lemmens,239,317,31
28766011,dmaffiew,Dani Maffiew,32,233,31
156216150,cdolios,Christos Dolios,74,594,30
312610445,canyamanme,Can Yaman,4,245,30
272568064,blake249,Blake Boesinger,450,2127,30
2922458907,GuntherWittig,Gunther Wittig,46,120,30
1374564373,MarcWautelet,Marc Wautelet,8,88,30
14292159,tomjadams,Tom Adams,1119,1426,30
733308066876272641,TurkeyScala,Turkey Scala Users Group,93,96,30
1006115142,wojdyga,Aleksander Wojdyga,155,1060,29
1382177286,Geeniux,andyrao,24,250,29
46762206,eman_sha3ban,Eman Shaaban,69,632,29
3291123575,Wieloming,Łukasz Woroniecki,9,167,29
227184922,chenhry,Harry Chen,12,130,29
15457198,sasajib,Shakil Ahmed,52,789,29
15133487,walla76,gregory.manushkin,92,520,29
213323300,davidjameshay,David Hay,257,3860,28
72824886,ya2o,Yann 🌿,88,344,28
14173412,log_two,Lorenzo Gallucci,283,1630,28
2939444452,DanielFryc,Daniel Fryc,48,805,28
2397989946,rwpinourias,Ricardo,169,1086,28
12490292,witchlove,witchlove,25,449,28
94082626,dmnpignaud,Damien Pignaud,171,559,28
1344444264,dmillercorp,Devon Miller,11,67,28
25719182,stefanwestmeier,Stefan Westmeier,54,398,28
15575886,globalPMguy,Zacharias J. Beckman,1337,778,28
216302820,ipanshin,Gleb Panshin,171,296,28
222152851,frankthomschke,Frank Thomschke,1,468,28
498072533,FrankZinner,Frank Zinner,80,282,28
516361125,mtgrigorov,Martin Grigorov,425,484,27
95493541,jp_pellet,Jean-Philippe Pellet,65,115,27
936015174032674817,wizzy_wooz,Wizzy-wooz,2,53,27
451618864,ningjin76,ning jin,70,1046,27
14166300,chuba,chuba,105,950,27
385236798,nbui714,Ninh Bui,12,367,27
67454546,vicchugu,Victor Chugunov,13,446,27
32374740,jelabra,Jose E. Labra Gayo,373,319,27
22769239,LRLucena,Leonardo Lucena,365,846,27
766550111857971201,emanuel_lal,Emauel Lal,26,250,27
92359776,chemacortes,Chema Cortés ∗ℝ,267,379,27
2841435562,asKorolkov,aleks,26,112,27
300744021,scaredwinChj,Oscar Charagua,54,607,27
1143870019,omidb_,Omid,138,842,26
102641210,drrzmr,Eder Ruiz,308,316,26
799032564,jesusmluque,Jesús Montero Luque,93,631,26
32000283,laurentpageon,laurent pageon,37,330,26
1200036385140432898,sp10pw,at3,11,349,26
33242290,ArnaudTanguy,Arnaud Tanguy,238,344,26
2413040138,slamdata,SlamData Inc.,1494,1519,26
220687834,daniel__fp,daniel.riquelme,587,795,26
44346111,TheCTORecruiter,Warren Beazley,1260,3731,26
141733987,himanshu4141,Himanshu Yadav,285,269,26
764829980681379840,fahim_ayat,S.Hosein Ayat,316,141,26
765468660735569920,imrafaelmerino,Rafael Merino García,10,235,26
993293708438228993,hernandigiorgi,Hernan Ezequiel Di Gigiorgi,49,171,26
45222144,filipelenfers,Filipe Pais Lenfers,108,351,25
3440383275,juanrh0011,Juan Rodriguez,121,981,25
105259977,parwenaker,Pär Wenåker,193,539,25
4802292985,SmileAnbu,Anbu TO Smile,41,959,25
570077849,M__Altaib,Mohamed Altaib,55,1473,25
327431767,iamvvra,Vijay Veeraraghavan,85,1171,25
2552710676,IanLees5,Ian Lees,40,252,25
9851562,chatsiri,chatsiri,95,2754,25
17324318,benneil,benneil,73,229,25
135487869,deshbandhu_,deshbandhumishra,158,645,25
24274770,BritishDan,Daniel Coldham,386,607,25
16739253,chernyshev,chern,180,964,25
386764231,mkonstantinou12,Marios Konstantinou,21,84,25
53189907,zvuki,zvuki,2873,1851,25
21798632,rajkumarvp,Rajkumar Vakkada,1,65,25
1684801,bluegnu,Chris Milton,562,4998,25
419411764,bekiroguzz,Bekir Oguz,172,350,25
909986148167983104,huiwang_,w,5,268,25
4600547412,xringxie,xringxie,175,383,25
116313159,nypias,Thomas Fattal,230,467,25
740654618401767424,beatleida,Ida Bzowska,164,172,25
855435752,fpbackwards,David Ainslie,40,89,25
409204956,badmanbird,Laurence Bird,117,363,25
865803663712935937,DavidOrt91,David Ortiz,53,305,25
14154555,markschaake,Mark Schaake,39,222,25
33849754,aussieOllie,Oliver Carr,706,4111,24
3307343058,scalatrainingau,Scala Training @ Aus,146,262,24
209130375,meduri30,Krishna Chaitanya Meduri,24,90,24
14949659,sswing,Steve Swing,1758,801,24
96740481,edwardsmatt,Matthew Edwards,198,1061,24
240792280,broilogabriel,Gabriel Broilo Luz,144,618,24
468399824,mfilippovich,Maxim Filippovich,97,551,24
3566483175,dfakhritdinov,Denys,10,97,24
56702743,Ivanobulo,Ivan Luzyanin,83,203,24
1454461718,mskomrak,Mislav Skomrak,41,1022,24
132799677,sanketVega,sanket patil,106,360,24
467887425,miocard_dioxide,Obfuscator,112,2030,24
134638357,rodobarcaaa,Rodoλfo Echemendía Quintana,33,218,24
35745065,zazrivec,Ján Zázrivec,79,216,24
31161043,DanielNeades,Daniel Neades,183,444,24
626753,GoAwayStupidAI,zombie not zombie,157,465,24
105682988,8bitreid,8bitreid,225,286,24
16882414,epocolis,epocolis,37,746,24
261793971,tykenyo,jorge  hernandez,62,393,24
237219814,dvigovszky,Daniel Vigovszky,79,147,24
35763228,xqdxqd,XuQiuDi,1,60,24
37866964,pprasanna,Prasanna Padmanabhan,203,438,24
2463424854,jssnull,Jairon Maiden,52,576,24
388163537,DarcyShen,Darcy Shen,69,215,24
916498272004509696,PittFo,Edgar Parra,69,994,24
3215193893,weian404,安在,22,375,24
15333471,mgogoi,Mridul Gogoi,81,975,24
28637377,romano_io,Doug Romano,100,428,24
1065750265817694211,hsmak,Husain AK,14,170,23
2853504026,ShadowsM1nd,Alexandr Oshlakov,8,132,23
131467132,neosemantix,Rafal Kowalski,88,392,23
1491998526,spark_lei,spark_lei,3,97,23
82057202,gszeliga,Guillermo Szeliga,119,486,23
433660638,aserban_ro,Alex Serban,4,183,23
16437252,MichaelDMcCray,Michael McCray,1348,1999,23
1453226941,terenzio989,Terence,222,2328,23
219316355,ilgazsumnulu,ılgaz şumnulu,292,749,23
15434633,hlegius,Hélio Costa,380,261,23
