id,username,name,followers,friends,deg
18010258,marcgwilson,Mustapha Mond,202,1054,8
34853877,angusnb,Angus Burton,546,1409,8
265167811,getme2raj,Raj Kolla,44,165,8
48355455,atikinn,Ivan,30,93,8
2703612913,__Li_Jinpei__,Li Jinpei,19,213,8
42199171,GinoNL,Gino Mangnoesing,314,1342,8
49935847,bancek,Luka Zakrajšek,275,419,8
10420382,dwilson86,David Wilson,243,883,7
69403709,piczmar,marcin piczkowski,104,342,7
1706494826,PriyankaJaya,Priyanka Jayaswal,174,373,7
60492755,nikosvg,nikosv,1448,4987,7
1639521776,milosevic_aca,Aleksandar Milosevic,22,247,7
431891706,Rober_Segura,Roberto,121,637,7
2772316052,goiaba,Bruno Corrêa,22,98,7
126345584,SoftShakeEvent,Soft Shake,572,450,7
479152954,Augsburg4,Augsburg,72,1602,7
159474159,krishnanandnb,krishnanand n b,262,1418,7
70473172,hanyizz,hanyi,25,213,7
52521373,nuthalapati,Ramesh Nuthalapati,87,290,7
2712106158,Andre__Sand,Andrés,488,2562,7
70069094,jeshan25,Jeshan Babooa,162,481,7
189957246,j_huiting,Jos Huiting,155,638,7
838013381059698689,mira80617618,mira,45,225,7
23234174,hiddenbyte,Mehul Irá,245,589,7
36913613,jippeh,Jippe Holwerda,55,199,7
426675136,__rsoper__,Randy Soper,373,2275,7
40605125,jvmengineer,EA888,31,1682,7
4063073897,vsp_tech,V,14,103,7
1551219246,mathusuthan,Mathusuthan,43,874,7
1900657212,hapandya_,Hardik Pandya,193,147,7
1914205746,YellowSnow60,Don't eat the,745,621,7
23579006,cbove,Chris Bove,258,2626,7
2164971199,rajardw,raja,3,146,7
352053266,coursera,Coursera,407847,458,7
12381352,WardCunningham,Ward Cunningham,56923,377,7
15009684,kousi,kousi,152,1571,6
573048915,ScalaPuzzlers,Scala Puzzlers,367,20,6
1402165982,koech_amos,Amos  Koech,152,195,6
8408752,trampfox,Davide Monfrecola,799,2827,6
1217221615,prramesh3,Ramesh Putalapattu,22,660,6
632970820,eellzzii,Ela Żukrowska,6,19,6
17467170,ErichGamma,ErichGamma,11085,82,6
17406103,xolve,Xolve,273,337,6
12688062,sepehrlajevardi,sepehr,730,585,6
1949494382,coryfklein,Cory Klein,81,139,6
4519121,Oatmeal,Matthew Inman,642965,584,6
18417123,littlebeeper,june8 ʕ•̫͡•ʔ,46,560,5
116525117,naresha_k,Naresha,486,1101,5
914412575659610112,EruditaLabs,Erudita,0,8,5
2298486637,HaskellTips,Haskell Tips,4904,5,5
15081713,javaamtho,Pankaj,219,1169,5
4106298252,chandiruthil_s,Ajana Sathian,26,348,5
19147480,alipanick,Mirco Veltri,296,512,5
101921482,laura_uzcategui,Laura Uzcátegui,2463,3966,5
357206447,shantha007,shanthakumar,6,140,5
14475372,AnujSuper9,Anuj,167,137,5
1184647243,PicardTips,Picard Tips,150015,5,5
2335459656,ScarpacciG,Mike,6,110,5
91051862,Lin_Li_21,Tim_Li,16,147,5
3218565529,stackcook,Nothere,37,208,5
32848976,muschneider,Mauro Schneider,136,157,5
156463580,CEWisch,Corey,108,529,5
1710782641,ender_em,Ender Erol,36,226,5
14188912,conorgriffin,Conor 👨🏻‍💻,210,605,5
30576670,zinggoat,zinggoat,362,4817,5
1006419421244678144,GretaThunberg,Greta Thunberg,4113378,1913,5
362966482,juastakhova,Julia Astakhova,140,172,5
382267114,Android,Android,10479363,66,5
804712179635200001,MilenkoMarkovi4,Milenko Markovic,35,720,5
389985989,herrwieger,: ( ) { : | : & } ; :,276,967,5
247390631,SamuellPiress,Samuel,47,133,5
1666038950,BoredElonMusk,Bored Elon Musk,1701733,2175,5
295157252,PanditSwapnil,Swapnil Pandit,90,413,5
146260612,itisdaimondvelu,SV,4,69,5
47498117,RajeshPradeshik,Rajesh Rao,26,65,5
119589307,kessir_,K.,1806,1742,5
38129790,StepanKuzmin,Stepan Kuzmin,746,2193,5
3398229615,Netero05,VegaPunk,161,989,5
13235832,natfriedman,Nat Friedman,60810,2600,5
208212889,brendangregg,Brendan Gregg,31885,161,4
817461662341091328,vincedelricco,Vince Delricco,63,192,4
3319233706,musgangdev,Mus Gang,0,17,4
81036364,SamanthaZeitlin,Samantha Zeitlin,1531,1559,4
356694067,MishraMridul,Mridul Mishra,59,1076,4
14465747,poornerd,Brian Porter,514,918,4
63489725,engendro,engendro,196,1084,4
102354934,bilashcse,Md. Nazmul Hossain,161,1633,4
878868100963160064,BallolliAshok,Ashok B,4,5,4
594666501,bgreene,Brian Greene,1010452,25,4
3121540166,umangmalhotra11,Umang Malhotra,51,329,4
