id,username,name,deg
246,blaine,Blaine Cook,2
1077,sbepstein,Steve Epstein,1
2173177140,Onshape,Onshape,1
83889856,musicalscience,melodysheep,1
24645921,jteufert,Jake Teufert,1
506990949,Consensys_Space,ConsenSys Space,1
1209119451582304256,Jasmine_ICC,Jasmine B,1
67640827,chris_herd,Chris Herd,1
3347580208,AlexLangeVC,Alexander Lange,1
145753406,kil0rk,*censored*,1
1199787031389450243,MarcelleKouame,Anne-Marcelle (郝安) Kouame,1
1074386515646656518,privacycoins1,Support Privacy coins 💪,1
104342107,Gabby_Hoffman,Gabriella Hoffman,1
3278906401,metamask_io,MetaMask,1
67643579,MaxClaussen,Maximilian Claussen,1
277437617,katiejots,Katie Ots,19
34615665,chziegler,Christopher Ziegler,1
14170066,carax,carax,1
1063479422026727424,OneWebSatellit1,OneWeb Satellites,1
126370094,Eutelsat_SA,Eutelsat,1
303056479,FouriersTrick,Cody Allen,37
15223775,cosmos,Cosmos - the Internet of Blockchains,1
1451773004,Space_Station,Intl. Space Station,2
280514581,hecturchi,Hector,1
901796180,btcven,Bitcoin Venezuela ⚡️,1
1199812749469126657,bluesky,bluesky,3
904700611282837504,AY_SportX,Andrew from SportX,1
1404590618,HassanRouhani,Hassan Rouhani,1
61367153,Molliway,Molly McCormick,1
18375989,parkan,Arkadiy Kukarkin,1
139487079,VladZamfir,Vlad Zamfir,1
1141423436671201282,kusamanetwork,kusama,1
65563900,HerbertRSim,Herbert R. Sim - BITCOIN 🕴🏻,1
2358275810,WalkingOlof,¤ Robert Walker ¤,26
155217931,kimitalvitie,Kimi Talvitie,1
754691355671040001,StephenLu666,Elon Lo,5
18379614,RubinReport,Dave Rubin,2
770209022,klaehnr,Rüdiger Klaehn,1059
786462030,Lucielerie,Valérie Lucienne,1
3167257102,Erdayastronaut,Everyday Astronaut,1
45646800,pfeiffer_d_,Daniel Pfeiffer,54
734106833783250944,moxystudio,MOXY,1
1617987241,Int_Machines,Intuitive Machines,1
825592107272388609,AdamDanielKing,Adam King,2
1023445663,paxoson,Heng,37
2382925681,willie_street,Green sky,1
313038011,StefanMolyneux,HOAXEDMOVIE.COM,1
984186556092121088,philw1776,philw1776🚀🏈🛳,1
1139310453987745792,thirdrowtesla,Third Row Podcast,1
848067829903613952,vlingo_io,vlingo/PLATFORM,1
1357422229,AsteroidEnergy,Space Initiatives,1
163097370,Psycherotique,Psycherotique,1
631162723,NDenefleh,Niels Denefleh,1
295218901,VitalikButerin,vitalik.eth,5
1057009435,PNWScala,PNWScala,17
1073262668,Horusiath,Bartosz Sypytkowski,15
73445737,jimduey,ن Jim Duey,6
69251739,eocarragain,Eoghan Ó Carragáin,1
10531662,mbrubeck,Matt Brubeck,1
236296665,asocorrot,Alejandro.,40
